,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
223,0-499,Electricity,"Wood Stud, R-7",68F,11140,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Renter,1970s,70F,207291,Slab,"ASHP, SEER 13, 7.7 HSPF",1,EF 17.6,Electric Premium,1,F15 B15 L15 R15,"Double, Clear, Metal, Air, Exterior Clear Storm",5894.5384343739,Multi-Family with 5+ Units,3,24.0,1960-79,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",,
224,1500-1999,Natural Gas,"Wood Stud, Uninsulated",67F,89642,25 ACH50,,Non-Ducted Heating,Owner,1950s,68F,207534,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 19.9,Natural Gas Premium,3,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",79504.0268452502,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,Composition Shingles,,
225,1000-1499,Fuel Oil,"Wood Stud, R-7",75F,13633,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,65F,209961,Ambient,"Fuel Furnace, 80% AFUE",1,EF 17.6,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",38222.035900791,Mobile Home,1,,1960-79,,Wood Frame,Wood Shingles,,
226,2000-2499,Natural Gas,"Wood Stud, Uninsulated",70F,27012,10 ACH50,,Non-Ducted Heating,Owner,1960s,72F,211085,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 17.6,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",52493.4247338975,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
227,2500-2999,Natural Gas,"Wood Stud, R-11",68F,38588,10 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,211403,Unvented Crawlspace,"Fuel Furnace, 80% AFUE",1,EF 19.9,Natural Gas Premium,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",44458.8813451261,Single-Family Detached,2,,1980-99,,Wood Frame,"Asphalt Shingles, Medium",2 Car,
228,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",65F,47457,15 ACH50,,Ducted Heating,Renter,<1940,68F,211493,Unheated Basement,Shared Heating,4,EF 19.9,Electric Tankless,3,F12 B12 L12 R12,"Single, Clear, Non-metal",24556.4249697305,Multi-Family with 2 - 4 Units,4,4.0,<1940,Room AC,Brick,"Tile, Clay or Ceramic",,
229,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",68F,168960,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,78F,212174,Heated Basement,"Fuel Furnace, 80% AFUE",4,EF 17.6,Propane Tankless,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",53991.3109735478,Single-Family Detached,1,,<1940,Central AC,Wood Frame,Composition Shingles,,
230,750-999,Propane,"Wood Stud, Uninsulated",72F,61887,20 ACH50,,Non-Ducted Heating,Owner,<1940,70F,212637,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",3,EF 15.9,Propane Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",39097.7322584656,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
231,750-999,Other Fuel,"Wood Stud, R-19",70F,128932,20 ACH50,,Non-Ducted Heating,Renter,1990s,75F,214273,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Fuel Oil Standard,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",7515.80759456663,Single-Family Detached,1,,1980-99,,Wood Frame,"Metal, Dark",1 Car,
232,1000-1499,Other Fuel,"Wood Stud, R-11",70F,74877,15 ACH50,,Non-Ducted Heating,Owner,1980s,72F,215489,Vented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Other Fuel,3,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",10651.6680454094,Single-Family Detached,2,,1980-99,Room AC,Wood Frame,Composition Shingles,,
233,2500-2999,Natural Gas,"Wood Stud, R-19",72F,108692,8 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,70F,217259,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Standard,3,F15 B15 L15 R15,"Triple, Low-E, Non-metal, Air, L-Gain",48384.568330083,Single-Family Detached,2,,2010s,Room AC,Wood Frame,Composition Shingles,2 Car,
234,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",76F,11140,10 ACH50,,Ducted Heating,Renter,1950s,80F,218118,Vented Crawlspace,Shared Heating,1,EF 17.6,Natural Gas Standard,1,F9 B9 L9 R9,"Single, Clear, Non-metal",20747.0871996319,Multi-Family with 5+ Units,2,8.0,1940-59,Room AC,Brick,"Asphalt Shingles, Medium",,
235,1000-1499,Other Fuel,"Wood Stud, R-19",75F,74877,10 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1990s,75F,218143,Ambient,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",14598.4561474187,Mobile Home,1,,1980-99,Central AC,Wood Frame,Composition Shingles,,
236,0-499,Fuel Oil,"Brick, 12-in, 3-wythe, Uninsulated",65F,32204,30 ACH50,,Non-Ducted Heating,Renter,<1940,65F,220565,Unheated Basement,"Fuel Boiler, 80% AFUE",1,EF 19.9,FIXME Fuel Oil Indirect,1,F12 B12 L12 R12,"Single, Clear, Non-metal",15506.3903228122,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,"Tile, Clay or Ceramic",,
237,500-749,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",68F,42184,20 ACH50,,Non-Ducted Heating,Renter,<1940,65F,221981,Unheated Basement,Shared Heating,1,EF 19.9,Natural Gas Standard,1,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",23086.0874106764,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,Wood Shingles,,
238,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,74909,15 ACH50,,Non-Ducted Heating,Renter,<1940,75F,222369,Unheated Basement,"Fuel Boiler, 80% AFUE",3,,Natural Gas Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",25125.5689880049,Multi-Family with 2 - 4 Units,3,3.0,<1940,Room AC,Brick,Wood Shingles,,
239,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",65F,27274,15 ACH50,,Non-Ducted Heating,Renter,<1940,65F,223282,Unheated Basement,Shared Heating,3,EF 17.6,Electric Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",24289.4372248036,Multi-Family with 2 - 4 Units,2,2.0,<1940,,Brick,"Asphalt Shingles, Medium",,
240,2000-2499,Natural Gas,"Wood Stud, R-7",70F,31921,5 ACH50,,Non-Ducted Heating,Renter,1970s,72F,224535,Heated Basement,"Fuel Boiler, 80% AFUE",2,EF 15.9,Natural Gas Standard,4,F9 B9 L9 R9,"Single, Clear, Non-metal",37334.3236292393,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
241,1000-1499,Electricity,"Wood Stud, R-11",75F,89096,5 ACH50,"30% Leakage to Outside, R-8",Ducted Heat Pump,Owner,2000s,70F,225480,Slab,"ASHP, SEER 15, 8.5 HSPF",2,EF 17.6,Electric Standard,2,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",18078.3820346437,Single-Family Detached,1,,2000-09,Ducted Heat Pump,Wood Frame,Composition Shingles,1 Car,Vented Attic
242,3000-3999,Natural Gas,"Wood Stud, Uninsulated",65F,129243,15 ACH50,"10% Leakage to Outside, R-4",Ducted Heating,Owner,1950s,75F,226439,Slab,"Fuel Furnace, 80% AFUE",3,EF 17.6,Natural Gas Standard,5,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",67572.5174363987,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
243,2500-2999,Natural Gas,"Wood Stud, Uninsulated",70F,149501,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,67F,226462,Unheated Basement,"Fuel Furnace, 92.5% AFUE",5,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",84083.2623166912,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,Vented Attic
244,1000-1499,Electricity,"Wood Stud, R-11",67F,280058,8 ACH50,"20% Leakage to Outside, R-4",Ducted Heat Pump,Owner,1980s,75F,228135,Slab,"ASHP, SEER 13, 7.7 HSPF",2,EF 17.6,Electric Premium,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",18668.6271699705,Single-Family Detached,1,,1980-99,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
245,3000-3999,Propane,"Wood Stud, R-19",70F,89642,10 ACH50,"20% Leakage to Outside, R-6",Ducted Heating,Owner,2000s,72F,229319,Unvented Crawlspace,"Fuel Furnace, 80% AFUE",4,EF 17.6,Propane Standard,4,F12 B12 L12 R12,"Double, Clear, Metal, Air",77588.2212595344,Single-Family Detached,2,,2000-09,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
246,0-499,Fuel Oil,"Wood Stud, R-11",55F,0,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,2000s,70F,231542,Heated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 15.9,Fuel Oil Premium,1,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",3345.11319494574,Single-Family Detached,1,,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
247,500-749,Natural Gas,"Wood Stud, Uninsulated",75F,12655,20 ACH50,,Non-Ducted Heating,Renter,1960s,62F,232538,Slab,"Fuel Boiler, 80% AFUE",2,EF 19.9,Natural Gas Premium,2,F9 B9 L9 R9,"Triple, Low-E, Non-metal, Air, L-Gain",25664.2336149815,Multi-Family with 2 - 4 Units,2,2.0,1960-79,Room AC,Wood Frame,Composition Shingles,,
248,500-749,Other Fuel,"Wood Stud, Uninsulated",55F,0,15 ACH50,,Non-Ducted Heating,Not Available,<1940,70F,233143,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",0,EF 6.7,Fuel Oil Premium,1,F12 B12 L12 R12,"Single, Clear, Non-metal",3857.69449667696,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,
249,1000-1499,Other Fuel,"Wood Stud, R-11",68F,92315,25 ACH50,,Non-Ducted Heating,Owner,2000s,72F,233329,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",3,EF 17.6,Electric Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",15537.7489273207,Single-Family Detached,1,,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
250,500-749,Other Fuel,"Wood Stud, R-11",75F,55558,20 ACH50,,Non-Ducted Heating,Renter,2000s,72F,233935,Ambient,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 19.9,Propane Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",20182.6323184802,Mobile Home,1,,2000-09,,Wood Frame,"Asphalt Shingles, Medium",,
251,2000-2499,Natural Gas,"Wood Stud, Uninsulated",70F,27012,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,70F,234429,Slab,"Fuel Furnace, 76% AFUE",1,EF 17.6,Electric Premium,3,F18 B18 L18 R18,"Single, Clear, Non-metal",45911.9277110399,Single-Family Detached,1,,1960-79,,Wood Frame,Composition Shingles,,
252,2000-2499,Natural Gas,"Wood Stud, Uninsulated",72F,149501,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,75F,235872,Heated Basement,"Fuel Furnace, 76% AFUE",2,EF 10.5,Natural Gas Premium,3,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",54361.4597351753,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,
253,2000-2499,Natural Gas,"Wood Stud, Uninsulated",70F,4293,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,75F,236353,Unheated Basement,"Fuel Furnace, 92.5% AFUE",5,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",50536.8822694278,Single-Family Attached,3,,<1940,Room AC,Wood Frame,Composition Shingles,,
254,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",72F,89096,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1940s,72F,236421,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Standard,1,F18 B18 L18 R18,"Single, Clear, Non-metal",30932.7722434675,Multi-Family with 2 - 4 Units,1,3.0,1940-59,Room AC,Brick,Composition Shingles,,
255,750-999,Propane,"Wood Stud, R-19",55F,0,3 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,2010s,70F,236621,Ambient,"Fuel Furnace, 80% AFUE",0,EF 19.9,Electric Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",6338.54110568482,Mobile Home,1,,2010s,Central AC,Wood Frame,Composition Shingles,,
256,1500-1999,Propane,"Wood Stud, Uninsulated",67F,110733,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,70F,236709,Unheated Basement,"Fuel Furnace, 80% AFUE",4,EF 17.6,Electric Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",71594.038661302,Single-Family Detached,2,,1940-59,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
257,2000-2499,Natural Gas,"Wood Stud, Uninsulated",72F,109096,30 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,<1940,67F,237616,Ambient,"Fuel Furnace, 92.5% AFUE",3,EF 21.9,Natural Gas Standard,4,F30 B30 L30 R30,"Double, Clear, Non-metal, Air",109791.749663268,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
258,2500-2999,Natural Gas,"Wood Stud, Uninsulated",70F,42395,15 ACH50,,Non-Ducted Heating,Owner,<1940,75F,239532,Heated Basement,"Fuel Boiler, 80% AFUE",4,EF 19.9,Natural Gas Premium,5,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",63808.6056821769,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
259,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",68F,4849,30 ACH50,,Ducted Heating,Renter,<1940,68F,240439,Vented Crawlspace,Shared Heating,1,EF 19.9,Natural Gas Standard,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",29152.3654921712,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,Composition Shingles,,
260,1000-1499,Other Fuel,"Wood Stud, Uninsulated",62F,13633,30 ACH50,,Non-Ducted Heating,Renter,<1940,72F,240988,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 17.6,Electric Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal",7175.84515316686,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Finished Attic or Cathedral Ceilings
261,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",72F,32325,20 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,1940s,72F,241242,Heated Basement,"Fuel Boiler, 80% AFUE",4,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",63780.1777883702,Single-Family Detached,1,,1940-59,Central AC,Brick,"Metal, Dark",1 Car,Vented Attic
262,1500-1999,Electricity,"Wood Stud, Uninsulated",67F,169093,6 ACH50,,Non-Ducted Heating,Owner,1940s,70F,241312,Heated Basement,"Electric Baseboard, 100% Efficiency",2,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",41373.4291183529,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
263,3000-3999,Other Fuel,"Wood Stud, R-7",68F,89096,4 ACH50,"30% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,72F,241972,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Other Fuel,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",12075.407304306,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
264,1000-1499,Fuel Oil,"Wood Stud, R-11",70F,280058,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,70F,242920,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",37562.6259929035,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
265,1000-1499,Fuel Oil,"Wood Stud, Uninsulated",65F,4187,20 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,1960s,75F,244040,Heated Basement,"Fuel Boiler, 90% AFUE",2,,Fuel Oil Premium,3,F6 B6 L6 R6,"Single, Clear, Metal",30831.0765821177,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Unvented Attic
266,1500-1999,Other Fuel,"Wood Stud, R-7",70F,54023,25 ACH50,,Non-Ducted Heating,Owner,1970s,75F,244865,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 17.6,Fuel Oil Premium,3,F12 B12 L12 R12,"Single, Clear, Non-metal",10558.1783740244,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
267,2500-2999,Natural Gas,"Wood Stud, R-11",75F,149501,8 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,75F,245154,Unvented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Standard,2,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",73968.2074007671,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,3 Car,Vented Attic
268,2000-2499,,"Wood Stud, Uninsulated",70F,42426,10 ACH50,,,Owner,<1940,75F,246807,Unheated Basement,,2,EF 17.6,Electric Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",7227.71873258734,Single-Family Detached,2,,<1940,,Wood Frame,Composition Shingles,,Finished Attic or Cathedral Ceilings
269,2000-2499,Fuel Oil,"Wood Stud, R-7",72F,89096,25 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1970s,80F,249295,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Premium,3,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",79979.3881210696,Single-Family Detached,2,,1960-79,,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
270,1000-1499,Natural Gas,"Wood Stud, R-19",67F,63747,15 ACH50,,Non-Ducted Heating,Renter,1990s,60F,249325,Slab,Shared Heating,2,EF 15.9,Natural Gas Premium,1,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",21857.2404134443,Multi-Family with 2 - 4 Units,2,4.0,1980-99,Room AC,Wood Frame,"Tile, Clay or Ceramic",,
271,1000-1499,Fuel Oil,"Wood Stud, R-19",55F,0,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,2000s,68F,253050,Ambient,"Fuel Furnace, 80% AFUE",0,EF 17.6,Electric Premium,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",7692.23637881031,Mobile Home,1,,2000-09,Central AC,Steel Frame,Composition Shingles,,
272,750-999,Natural Gas,"Wood Stud, R-19",72F,4849,15 ACH50,,Non-Ducted Heating,Renter,1990s,70F,253262,Vented Crawlspace,Shared Heating,1,,Natural Gas Standard,1,F12 B12 L12 R12,"Double, Clear, Metal, Air",15855.4379673873,Multi-Family with 5+ Units,2,12.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
273,750-999,Propane,"Wood Stud, R-11",70F,74877,15 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1990s,72F,253284,Ambient,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Electric Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",24271.2668184529,Mobile Home,1,,1980-99,Central AC,Wood Frame,Wood Shingles,,
274,1500-1999,Natural Gas,"Wood Stud, Uninsulated",67F,15960,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,65F,253319,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Premium,2,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",63232.4279582183,Single-Family Detached,2,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
275,2500-2999,Natural Gas,"Wood Stud, Uninsulated",70F,267342,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,70F,253852,Heated Basement,"Fuel Furnace, 92.5% AFUE",3,EF 17.6,Natural Gas Standard,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",58707.7037058293,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,Composition Shingles,,
276,500-749,Electricity,"Wood Stud, R-11",65F,17401,30 ACH50,,Non-Ducted Heating,Renter,1980s,68F,255351,Vented Crawlspace,"Electric Baseboard, 100% Efficiency",4,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Single, Clear, Metal",11429.4786656464,Multi-Family with 5+ Units,3,43.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
277,1000-1499,Natural Gas,"Wood Stud, Uninsulated",70F,189083,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,76F,255498,Unheated Basement,"Fuel Furnace, 76% AFUE",2,EF 17.6,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",50229.4507168171,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Metal, Dark",,Vented Attic
278,1500-1999,Natural Gas,"Wood Stud, R-11",55F,0,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1980s,65F,255642,Heated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 19.9,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",17175.7231385132,Single-Family Detached,2,,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
279,750-999,Propane,"Wood Stud, R-19",68F,38588,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,255711,Ambient,"Fuel Furnace, 92.5% AFUE",1,EF 17.6,Natural Gas Premium,2,F9 B9 L9 R9,"Single, Clear, Non-metal",18457.6159994465,Mobile Home,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
280,500-749,Other Fuel,"Wood Stud, Uninsulated",55F,0,40 ACH50,,Non-Ducted Heating,Not Available,<1940,72F,256127,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",0,EF 19.9,Propane Standard,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",2630.31285479569,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
281,500-749,Propane,"Wood Stud, R-11",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1990s,72F,257108,Heated Basement,"Fuel Furnace, 80% AFUE",0,EF 19.9,Propane Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",10236.0932679052,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,1 Car,
282,3000-3999,Fuel Oil,"Wood Stud, Uninsulated",75F,107684,15 ACH50,,Non-Ducted Heating,Owner,<1940,75F,257738,Unheated Basement,"Fuel Boiler, 80% AFUE",7,EF 10.5,Fuel Oil Standard,5,F15 B15 L15 R15,"Single, Clear, Non-metal",131408.378728101,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Unvented Attic
283,3000-3999,Electricity,"Wood Stud, R-7",70F,129243,6 ACH50,"10% Leakage to Outside, R-4",Ducted Heat Pump,Owner,1970s,70F,257910,Slab,"ASHP, SEER 13, 7.7 HSPF",3,EF 17.6,Electric Standard,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",30801.4764040303,Single-Family Detached,1,,1960-79,Ducted Heat Pump,Wood Frame,Composition Shingles,2 Car,
284,1500-1999,Other Fuel,"Wood Stud, R-7",67F,89096,15 ACH50,,Non-Ducted Heating,Owner,1970s,70F,260248,Vented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Fuel Oil Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",6985.34895755491,Single-Family Detached,2,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
285,2000-2499,Natural Gas,"Wood Stud, Uninsulated",65F,27012,25 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,72F,260950,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",62647.7511732247,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Metal, Dark",1 Car,
